ID,Sexo,Idade,CartaodeCredito,ChequeEspecial,Renda,LimiteCartaodeCredito,LimiteChequeEspecial,Devedor,SaldoDevedor
1,0,26,0,0,"2471,51","0,00","0,00","0,00","0,00"
2,1,25,1,1,"2781,90","4172,85","2781,90","0,00","0,00"
3,0,29,0,0,"2567,38","0,00","0,00","0,00","0,00"
4,1,29,1,0,"3329,50","4994,24","0,00","0,00","0,00"
5,1,19,0,1,"2074,08","0,00","2074,08","1,00","5887,33"
6,0,34,0,0,"3513,94","0,00","0,00","1,00","0,00"
7,0,30,1,0,"3172,40","4758,60","0,00","0,00","0,00"
8,1,39,1,0,"3979,41","5969,12","0,00","0,00","0,00"
9,0,32,1,0,"3056,95","4585,42","0,00","1,00","16333,89"
10,0,28,0,1,"2703,81","0,00","2703,81","1,00","6777,80"
11,1,41,0,1,"3852,43","0,00","3852,43","0,00","0,00"
12,0,41,0,0,"4607,86","0,00","0,00","0,00","0,00"
13,0,25,0,1,"2649,87","0,00","2649,87","0,00","0,00"
14,0,31,1,0,"3066,29","4599,44","0,00","1,00","18623,26"
15,0,29,0,0,"2569,73","0,00","0,00","1,00","0,00"
16,1,30,0,1,"3095,96","0,00","3095,96","1,00","8959,95"
17,0,30,0,0,"2698,04","0,00","0,00","0,00","0,00"
18,0,24,1,0,"2195,61","3293,42","0,00","0,00","0,00"
19,0,31,1,0,"3732,02","5598,04","0,00","1,00","19248,87"
20,1,36,1,0,"3097,45","4646,17","0,00","1,00","16704,84"
21,1,29,0,1,"2643,93","0,00","2643,93","0,00","0,00"
22,0,29,0,0,"2731,57","0,00","0,00","0,00","0,00"
23,0,35,1,0,"3291,49","4937,23","0,00","0,00","0,00"
24,1,33,1,1,"2928,58","4392,86","2928,58","0,00","0,00"
25,0,23,0,0,"2256,82","0,00","0,00","0,00","0,00"
26,1,30,1,1,"2688,59","4032,88","2688,59","0,00","0,00"
27,0,36,0,0,"4083,29","0,00","0,00","0,00","0,00"
28,0,35,0,0,"3543,23","0,00","0,00","1,00","0,00"
29,0,31,0,0,"3366,03","0,00","0,00","1,00","0,00"
30,0,32,1,1,"2750,26","4125,39","2750,26","0,00","0,00"
31,1,25,1,0,"2496,39","3744,58","0,00","0,00","0,00"
32,1,31,1,1,"3269,13","4903,69","3269,13","1,00","23822,31"
33,0,26,0,0,"2625,51","0,00","0,00","0,00","0,00"
34,1,28,1,1,"2804,93","4207,39","2804,93","0,00","0,00"
35,0,33,1,0,"2958,69","4438,03","0,00","1,00","13803,33"
36,0,25,1,0,"2342,82","3514,23","0,00","0,00","0,00"
37,1,31,1,1,"2974,48","4461,72","2974,48","0,00","0,00"
38,0,31,0,0,"2851,26","0,00","0,00","1,00","0,00"
39,0,30,1,0,"3229,14","4843,71","0,00","0,00","0,00"
40,0,37,0,0,"4351,06","0,00","0,00","0,00","0,00"
41,0,25,0,1,"2828,80","0,00","2828,80","0,00","0,00"
42,0,32,1,1,"3335,31","5002,96","3335,31","1,00","26251,67"
43,0,29,1,0,"2865,69","4298,54","0,00","0,00","0,00"
44,0,28,1,0,"2961,28","4441,92","0,00","1,00","9946,67"
45,0,31,1,0,"2855,53","4283,29","0,00","1,00","13727,19"
46,0,25,0,0,"2566,23","0,00","0,00","1,00","0,00"
47,0,24,0,0,"2439,95","0,00","0,00","0,00","0,00"
48,0,28,1,0,"2143,39","3215,09","0,00","0,00","0,00"
49,0,37,0,0,"4401,76","0,00","0,00","1,00","0,00"
50,1,30,1,1,"2600,53","3900,80","2600,53","0,00","0,00"
51,0,31,0,0,"2285,98","0,00","0,00","0,00","0,00"
